53942	3549	10930	11598
53948	3457	10935	4992
53955	3528	11027	4581
53959	3503	11103	3650
53963	3539	11122	4338
53968	3517	11140	5050
53975	3529	11224	6595
53986	3519	11353	732
54012	4434	11738	10017
54026	4434	12054	2650
54027	4359	11924	4862
54041	4448	12304	1500
54049	4415	12358	1889
54063	4458	12600	1968
54064	4423	12509	1702
54094	4434	12936	2414
54096	4423	13110	5678
54102	4357	11607	10030
54115	4336	11804	7995
54134	4336	12117	2410
54135	4336	12216	1787
54142	4330	12332	1149
54157	4310	12420	1657
54161	4354	12513	2368
54165	4333	12538	2195
54171	4342	12631	2295
54181	4342	12720	2950
54186	4322	12812	5249
54195	4318	12947	2448
54208	4211	11628	12454
54213	4256	11901	6343
54218	4218	11850	6686
54226	4220	12042	4005
54236	4223	12233	794
54237	4204	12145	1678
54243	4247	12407	1651
54254	4232	12403	982
54259	4206	12455	2372
54260	4255	12505	2529
54263	4258	12603	3367
54266	4232	12538	3405
54273	4259	12645	2633
54276	4221	12649	5492
54284	4209	12730	7742
54285	4225	12807	7214
54286	4232	12900	4756
54292	4252	12930	2573
54308	4112	11638	7351
54311	4158	11746	8927
54324	4133	12026	1743
54326	4123	11942	4220
54333	4158	12251	309
54334	4131	12114	685
54335	4141	12205	375
54337	4108	12107	659
54339	4105	12300	773
54342	4144	12331	490
54346	4119	12347	1854
54349	4118	12407	2119
54351	4155	12405	1185
54353	4144	12503	3284
54363	4141	12554	4029
54365	4117	12521	2455
54374	4148	12653	3797
54377	4106	12609	1777
54386	4125	12811	7750
54401	4047	11453	7242
54405	4025	11530	5709
54406	4027	11558	4879
54416	4023	11652	718
54423	4058	11755	4223
54429	4012	11757	549
54436	4025	11857	2543
54449	3951	11931	24
54452	4048	11949	3655
54454	4020	12018	290
54455	4037	12039	205
54470	4101	12204	55
54471	4039	12210	38
54472	4053	12243	253
54476	4010	12209	204
54486	4017	12317	798
54493	4043	12447	2601
54497	4003	12420	138
54511	3948	11628	313
54518	3907	11623	90
54525	3944	11717	51
54527	3905	11703	35
54534	3939	11806	232
54535	3917	11828	32
54539	3926	11853	105
54563	3938	12201	1187
54579	3916	12235	355
54584	3943	12257	348
54602	3844	11529	168
54606	3814	11544	190
54618	3805	11633	132
54623	3903	11743	48
54624	3822	11721	66
54660	3849	12114	667
54662	3854	12138	915
54705	3722	11523	274
54715	3719	11634	186
54725	3730	11732	117
54727	3641	11733	1218
54744	3735	11833	85
54751	3756	12044	397
54753	3738	12020	48
54764	3729	12114	539
54774	3728	12208	654
54776	3724	12242	477
54808	3614	11538	378
54823	3636	11700	1703
54826	3615	11706	15337
54836	3611	11810	3051
54842	3646	11957	486
54843	3645	11912	222
54857	3604	12020	760
54863	3647	12111	409
54909	3505	11531	515
54916	3534	11651	517
54929	3516	11758	1212
54936	3534	11850	1074
54945	3526	11932	369
55228	3230	8005	42786
55248	3209	8425	44149
55279	3123	9001	147000
55294	3221	9106	148000
55299	3129	9204	45070
55437	3017	8115	139000
55472	3057	8838	146720
55493	3029	9106	142000
55569	2905	8736	140000
55578	2915	8853	38360
55585	2926	9010	138094
55591	2940	9108	36489
55598	2915	9146	35517
55655	2811	8558	138100
55664	2838	8705	143000
55680	2855	8936	140400
55681	2858	9024	144317
